,cell_specimen_id,rheobase_sweep_num,thumbnail_sweep_num,vrest,ri,sag,tau,vm_for_sag,f_i_curve_slope,adaptation,latency,avg_isi,upstroke_downstroke_ratio_long_square,peak_v_long_square,peak_t_long_square,trough_v_long_square,trough_t_long_square,fast_trough_v_long_square,fast_trough_t_long_square,slow_trough_v_long_square,slow_trough_t_long_square,threshold_v_long_square,threshold_i_long_square,threshold_t_long_square,upstroke_downstroke_ratio_ramp,peak_v_ramp,peak_t_ramp,trough_v_ramp,trough_t_ramp,fast_trough_v_ramp,fast_trough_t_ramp,slow_trough_v_ramp,slow_trough_t_ramp,threshold_v_ramp,threshold_i_ramp,threshold_t_ramp,upstroke_downstroke_ratio_short_square,peak_v_short_square,peak_t_short_square,trough_v_short_square,trough_t_short_square,fast_trough_v_short_square,fast_trough_t_short_square,slow_trough_v_short_square,slow_trough_t_short_square,threshold_v_short_square,threshold_i_short_square,threshold_t_short_square
0,718237581,21,23,-65.63651,98.12507033348083,0.004927667,6.763393738887644,-77.0625,1.075,0.0011242778196872,0.00682,8.718787878787879,1.1673010210069417,13.28125,0.52722,-51.34375381469727,0.5282,-51.28125,0.52814,,,-25.875001907348636,370.0,0.52688,0.9466650241720468,9.734375,20.818530000000003,-47.921875,20.8196,-47.890625,20.81955,,,-23.78125,508.0625,20.81809,1.4107030188358558,22.476562,0.503405,-65.77344,0.952035,-56.53125,0.50428,,,-39.6875,650.0,0.503105
0,718246985,11,12,-66.5609,121.24999612569808,0.10765756,7.625635022499019,-81.15625,1.0392857142857146,-0.0145565247958547,0.0065599999999998,27.388888888888893,1.0756238308101325,22.000001907348636,1.32844,-56.15625,1.32924,-56.0,1.32916,,,-26.125,270.0,1.3281,0.8515364491251918,10.53125,18.88719,-47.296875,18.88819,-47.25000190734863,18.88816,,,-21.1875,459.75,18.88676,1.3149477490773889,29.337503,0.5032479999999999,-66.4625,0.963108,-58.6875,0.5039640000000001,,,-39.525,499.99997,0.5029679999999999
0,718255020,12,14,-69.595184,123.43749403953552,0.058084294,7.588606486199245,-83.68751,0.5424999784469559,0.0040607367527799,0.01126,18.010740740740736,1.682638224899878,33.375003814697266,0.51668,-53.00000381469727,0.51772,-53.00000381469727,0.51772,,,-31.125001907348636,230.0,0.5163,1.281555397988306,32.0,14.47676,-45.53125,14.47804,-45.437504,14.477939999999998,,,-16.250002,349.5,14.476299999999998,1.7128725519181875,44.71875,0.5033899999999999,-70.65625,1.10282,-50.73438,0.5045,,,-32.96875,730.0,0.5030499999999999
0,718257664,15,16,-71.96836,54.53113466501236,0.06272103,4.776533327036017,-80.375,0.6412499999999999,0.0047170543668131,0.0484999999999999,24.12410256410256,1.327225171118762,25.093751907348636,0.64958,-54.5625,0.65028,-54.43750381469727,0.6502600000000001,,,-31.96875,380.0,0.6492800000000001,1.1450982392768694,19.578127,22.41923,-49.54688,22.42015,-49.45313,22.42007,,,-24.21875,548.0625,22.41886,1.3784315642340563,27.71875,0.5031755555555555,-71.21875,0.9057022222222222,-57.468758,0.5038711111111112,,,-40.70486,850.0,0.5028999999999999
0,718257716,12,13,-72.81471,103.28124463558196,0.019584142,7.865023189640306,-83.78126,0.5099999805450395,0.0040210662837151,0.05132,23.229,1.4892872409544469,15.625,0.5922000000000001,-51.84375,0.59442,-51.15625381469727,0.59338,-51.84375,0.59442,-28.843751907348636,230.0,0.5918399999999999,1.3135063993253668,12.6875,11.12198,-52.078125,11.1247,-51.578125,11.12349,-52.07812690734863,11.1247,-26.140627,265.625,11.121579999999998,1.6406341907650968,22.583334,0.5033033333333333,-72.36979,1.0010666666666663,-57.458332,0.5044233333333333,,,-41.078125,720.0,0.5030066666666666
0,718264660,13,11,-71.61429,127.34381854534148,0.043488823,9.135320602652737,-86.15626,0.7384839401238731,-0.0153947979646112,0.0101199999999999,21.577714285714286,1.3911541839312864,21.437501907348636,1.09092,-56.84375381469727,1.0922,-56.71875,1.09212,,,-29.59375,210.0,1.09048,1.2869491603430785,20.406252,12.38366,-57.5,12.38494,-57.375004,12.38482,,,-27.531252,297.125,12.38322,1.6009113142546878,33.390625,0.503195,-71.578125,0.986565,-63.320316,0.50417,,,-44.171875,499.99997,0.50287
0,718473774,15,18,-75.31709,142.96893775463104,0.040563233,15.123970845062203,-85.34376,0.3400000000000006,0.0438516626114928,0.0363799999999999,78.46666666666665,2.3697809472583238,44.15625381469727,0.59766,-57.28125381469727,0.5989800000000001,-57.21875381469727,0.59896,,,-39.5,170.0,0.59726,2.077748248818486,40.46875,7.7955066666666655,-58.0625,7.796779999999999,-57.96875,7.796726666666667,,,-37.239582,182.45833,7.795086666666666,2.2901589984255204,43.15625,0.5036200000000001,-75.65625,0.92052,-61.156254,0.5048,,,-45.53125,770.0,0.50326
0,718474288,11,14,-67.9751,254.68748807907104,0.07842462,19.522069151143043,-86.84375,0.0827586189660104,0.5673776662484308,0.02798,39.85,2.059379116104709,36.25000381469727,0.58308,-56.37500381469727,0.58458,-56.12500381469727,0.58438,,,-39.0625,50.0,0.5826,1.7086636014859642,-1.0859375,8.2127,-39.101566,8.218895000000002,-38.17187595367432,8.215185,-32.79687595367432,9.625500000000002,-28.351562,192.84375,8.21146,1.9850003776797704,35.1875,0.5037200000000001,-67.59375,0.93852,-58.625,0.505,,,-43.187504,479.99997,0.5031800000000001
0,718474941,16,19,-75.54692,72.65643775463104,0.011643155,7.380662643600843,-82.34376,0.942241379310346,0.0011132110188689,0.01268,15.553968253968254,1.2764082242468089,19.03125,0.53306,-55.71875381469727,0.53402,-55.59375,0.53398,,,-29.000001907348636,360.0,0.5327000000000001,1.2637861660134202,18.351562,13.47722,-60.05469,15.455095,-56.55469,13.47818,,,-35.890625,324.5,13.476810000000002,1.499988049317181,32.250004,0.50332,-75.28126,0.86156,-61.843754,0.50414,,,-44.34375,710.0,0.503
0,718475318,18,21,-73.89711,127.34393775463104,0.07154541,8.311527394273092,-84.12501,0.957143056441332,0.0056593915424972,0.0158,20.49222222222222,1.412112040900466,19.34375,0.6143000000000001,-59.8125,0.61546,-59.78125381469727,0.61542,,,-33.59375,180.0,0.61392,1.2242992780933752,12.21875,9.633713333333334,-57.28125,9.634986666666668,-57.135418,9.634906666666668,,,-30.208334,228.375,9.633293333333334,1.5450624594010989,24.0,0.5035000000000001,-73.5625,1.5964999999999998,-62.968754,0.50464,,,-42.125,590.0,0.50312
